Unnamed: 0,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials,Score,GoalDifference,HomeWin
309,1982,14 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,0.0,0.0,Poland, ,33000.0,0.0,0.0,ITA,POL,0.0 - 0.0,0.0,False
310,1982,14 Jun 1982 - 21:00 ,Group 6,Ramon Sanchez Pizjuan,Seville ,Brazil,2.0,1.0,Soviet Union, ,68000.0,0.0,1.0,BRA,URS,2.0 - 1.0,1.0,True
311,1982,15 Jun 1982 - 17:15 ,Group 1,Riazor,La Coru�A ,Peru,0.0,0.0,Cameroon, ,11000.0,0.0,0.0,PER,CMR,0.0 - 0.0,0.0,False
312,1982,15 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Hungary,10.0,1.0,El Salvador, ,23000.0,3.0,0.0,HUN,SLV,10.0 - 1.0,9.0,True
313,1982,15 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Scotland,5.0,2.0,New Zealand, ,36000.0,3.0,0.0,SCO,NZL,5.0 - 2.0,3.0,True
314,1982,16 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany FR,1.0,2.0,Algeria, ,42000.0,0.0,0.0,FRG,ALG,1.0 - 2.0,1.0,False
315,1982,16 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,3.0,1.0,France, ,44172.0,1.0,1.0,ENG,FRA,3.0 - 1.0,2.0,True
316,1982,16 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Spain,1.0,1.0,Honduras, ,49562.0,0.0,1.0,ESP,HON,1.0 - 1.0,0.0,False
317,1982,17 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Chile,0.0,1.0,Austria, ,22500.0,0.0,1.0,CHI,AUT,0.0 - 1.0,1.0,False
318,1982,17 Jun 1982 - 17:45 ,Group 4,Jose Zorrilla,Valladolid ,Czechoslovakia,1.0,1.0,Kuwait, ,25000.0,1.0,0.0,TCH,KUW,1.0 - 1.0,0.0,False
319,1982,17 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Yugoslavia,0.0,0.0,Northern Ireland, ,25000.0,0.0,0.0,YUG,NIR,0.0 - 0.0,0.0,False
320,1982,18 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,1.0,1.0,Peru, ,25000.0,1.0,0.0,ITA,PER,1.0 - 1.0,0.0,False
